"date";"txHash";"txNoteUser";"fromAddress";"fromTagsUser";"fromNoteUser";"fromTags";"toAddress";"toTagsUser";"toNoteUser";"toTags";"tokenName";"tokenAddress";"tokenSymbol";"value";"usdPrice"
"2022-11-07 07:01:59";"0x295738015e3384bb9ec1da8611194ebf1c8ca49e93ee62bd6886c227d77dba9e";"";"0xb097b0d613df4faedee661bd1f88d36364f7c137";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"3808,944395";"0,99991229078097"
"2022-11-07 07:00:59";"0xa55abb72e480914f3db214f747aee1ad479b56b703028e687b058526e49baa02";"";"0xb097b0d613df4faedee661bd1f88d36364f7c137";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"Tether USD";"0xdac17f958d2ee523a2206206994597c13d831ec7";"USDT";"4014,238771";"1,0000729101788"
"2022-11-07 06:55:47";"0x8b6494b269eac4855a74972475577977fa8c92cd9bf8f9c3d526338408644e0e";"";"0x04b18d13e20bc7ecd38f7b60877a692405ba86b8";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"Dai";"0x6b175474e89094c44da98b954eedeac495271d0f";"DAI";"9763,847812760000000000";"0,99961866176188"
"2022-11-07 06:47:47";"0xfb62995aefef8ad126a99ae84d828b15d65106c02a6cda29941c63231aeceaa5";"";"0xb097b0d613df4faedee661bd1f88d36364f7c137";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"10477,044315";"0,99998061301119"
"2022-11-07 06:12:47";"0xcc16e2d4a7b4bece463a1914ba0a50c9fe6d5b5644610b3b67fe9a6986c90e77";"";"0x3f4809fe3a0ac7fc7c5375ca92764b324920a0ab";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"10132,321808";"0,99997860551119"
"2022-11-07 06:07:47";"0x7712b252edd339e6e7dfd1b4b3e4f14835c0c5c184bd54afb062364b02d2f968";"";"0x5e24ebd8c6b2042b11c5e27c569304cd5daade14";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,0094646904773588";"1588,42"
"2022-11-07 04:34:47";"0xba13a3ead44efe9291dfb6182d1fcb2c83ec0603709be3740c0f87f7c06d12bd";"";"0xc0b1b4541bbb34bb9919920088ed0228de88f069";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"9000,000000";"1,000048319916"
"2022-11-07 04:26:47";"0xb7897ba0adae0c518d5e47e373fbf96915ec0e4bbd54a37913de2d39cc27e3b9";"";"0x3f4809fe3a0ac7fc7c5375ca92764b324920a0ab";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"8664,860000";"0,99997058023426"
"2022-11-07 04:12:59";"0x0e70edee1b6da5f66d3ccda7aa65a9e1f9d256026c207907b79a6e1f83299c8f";"";"0xbb97abfc1d4ef54ea41d041c7241708df0630d95";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"19695,211226";"0,99986155436608"
"2022-11-07 03:31:59";"0x3f089ffa3deb2d612fd4f812144b9b5f3178417da35716ae7fb53f55a48af35c";"";"0xbb97abfc1d4ef54ea41d041c7241708df0630d95";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"15233,517975";"0,99999205296457"
"2022-11-07 03:00:47";"0xc0b573e589a38d30c9ada3f657dd3cd054f525e353cb36ad2c2fab45c49e2597";"";"0xbb97abfc1d4ef54ea41d041c7241708df0630d95";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1000,000000";"1,0000083937478"
"2022-11-06 18:16:11";"0x230a63f4dfeb2486826f3c770e2d32b8ef6f74d39a533a9ca106525eb9d97f1c";"";"0x56cf69cdf538a794e3a54c23f1f6336c8811b46e";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"1,2292771368438";"1614,42"
"2022-11-06 15:59:47";"0x768ea026e0384779e35fea86b510acdd16b662d828b014ea7715b19ea4fe940d";"";"0x595821d78203254a124b038a8272d858b01fa5da";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"30000,000000";"1,0000074399038"
"2022-11-06 12:01:11";"0xc6c7b9c9b87c83341d0fdaf989adcfc8a0cb7e67a7f19fb7930bde6c0e5b1778";"";"0x3bcb4c1a1eb01f2d43679d2bab840d123aca24fe";"";"";"";"0x5425a0f2633b60b9f2400d82ed6596b5a4b41523";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1999,000000";"1,0000827509966"
